title,price,rating,reviews,availability
"realme 11 5G Dual SIM 8+256GB RMX3780 |108MP Camera,120Hz 6.72"" LCD Display,108 MP Camera, 5000 mAh Battery, GSM Unlocked (Not for CDMA Carriers Such as Verizon, Sprint, Boost, Cricket) - (Gold)",,4.1 out of 5 stars,771 ratings,Only 2 left in stock - order soon.
"realme 11 5G Dual SIM 8+256GB RMX3780 |108MP Camera,120Hz 6.72"" LCD Display,108 MP Camera, 5000 mAh Battery, GSM Unlocked (Not for CDMA Carriers Such as Verizon, Sprint, Boost, Cricket) - (Black)",,4.1 out of 5 stars,771 ratings,Only 6 left in stock - order soon.
